,kor_short,kor,eng,code,eng_short
0,창,창세기,Genesis,01O,Gen
1,출,출애굽기,Exodus,02O,Exod
2,레,레위기,Leviticus,03O,Lev
3,민,민수기,Numbers,04O,Num
4,신,신명기,Deuteronomy,05O,Deut
5,수,여호수아,Joshua,06O,Josh
6,삿,사사기,Judges,07O,Judg
7,룻,룻기,Ruth,08O,Ruth
8,삼상,사무엘상,1_Samuel,09O,1Sam
9,삼하,사무엘하,2_Samuel,10O,2Sam
10,왕상,열왕기상,1_Kings,11O,1Kgs
11,왕하,열왕기하,2_Kings,12O,2Kgs
12,대상,역대상,1_Chronicles,13O,1Chr
13,대하,역대하,2_Chronicles,14O,2Chr
14,스,에스라,Ezra,15O,Ezra
15,느,느헤미야,Nehemiah,16O,Neh
16,에,에스더,Esther,17O,Esth
17,욥,욥기,Job,18O,Job
18,시,시편,Psalms,19O,Ps
19,잠,잠언,Proverbs,20O,Prov
20,전,전도서,Ecclesiastes,21O,Eccl
21,아,아가,Song_of_Songs,22O,Song
22,사,이사야,Isaiah,23O,Isa
23,렘,예레미야,Jeremiah,24O,Jer
24,애,예레미야애가,Lamentations,25O,Lam
25,겔,에스겔,Ezekiel,26O,Ezek
26,단,다니엘,Daniel,27O,Dan
27,호,호세아,Hosea,28O,Hos
28,욜,요엘,Joel,29O,Joel
29,암,아모스,Amos,30O,Amos
30,옵,오바댜,Obadiah,31O,Obad
31,욘,요나,Jonah,32O,Jonah
32,미,미가,Micah,33O,Mic
33,나,나훔,Nahum,34O,Nah
34,합,하박국,Habakkuk,35O,Hab
35,습,스바냐,Zephaniah,36O,Zeph
36,학,학개,Haggai,37O,Hag
37,슥,스가랴,Zechariah,38O,Zech
38,말,말라기,Malachi,39O,Mal
39,마,마태복음,Matthew,40N,Matt
40,막,마가복음,Mark,41N,Mark
41,눅,누가복음,Luke,42N,Luke
42,요,요한복음,John,43N,John
43,행,사도행전,Acts,44N,Acts
44,롬,로마서,Romans,45N,Rom
45,고전,고린도전서,1_Corinthians,46N,1Cor
46,고후,고린도후서,2_Corinthians,47N,2Cor
47,갈,갈라디아서,Galatians,48N,Gal
48,엡,에베소서,Ephesians,49N,Eph
49,빌,빌립보서,Philippians,50N,Phil
50,골,골로새서,Colossians,51N,Col
51,살전,데살로니가전서,1_Thessalonians,52N,1Thess
52,살후,데살로니가후서,2_Thessalonians,53N,2Thess
53,딤전,디모데전서,1_Timothy,54N,1Tim
54,딤후,디모데후서,2_Timothy,55N,2Tim
55,딛,디도서,Titus,56N,Titus
56,몬,빌레몬서,Philemon,57N,Phlm
57,히,히브리서,Hebrews,58N,Heb
58,약,야고보서,James,59N,Jas
59,벧전,베드로전서,1_Peter,60N,1Pet
60,벧후,베드로후서,2_Peter,61N,2Pet
61,요일,요한일서,1_John,62N,1John
62,요이,요한이서,2_John,63N,2John
63,요삼,요한삼서,3_John,64N,3John
64,유,유다서,Jude,65N,Jude
65,계,요한계시록,Revelation,66N,Rev
